step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
205.0,28,2184.0,47.47826086956522,2.6017342112452817,19,2129.0,0.09144289791136327,0,0.0,0.9488361931352471,7,1758.0,0.20919762037274106,2,6.0,0.24757673931142385,28,3893.0
210.0,30,1865.0,41.44444444444444,1.791136164841514,16,2057.0,0.07026072748215703,0,0.0,0.9751731695716055,11,1803.0,0.06640138709555189,3,21.0,0.23548253639491593,30,3881.0
215.0,33,1297.0,28.822222222222223,1.599976023106492,12,1818.0,0.08314686258382634,0,2.0,0.5494665779811053,17,1876.0,0.0026304038821234076,4,38.0,8.363808353796595e-05,33,3734.0
220.0,28,926.0,19.70212765957447,2.299647570670129,8,1862.0,0.17646283654442269,0,2.0,0.8839286184551467,16,1954.0,0.008466235520433709,4,58.0,0.0,28,3876.0
225.0,28,630.0,13.125,2.7222154246221053,7,1899.0,0.19755952053813805,2,6.0,0.17851896579622606,16,2031.0,0.11130990560938377,3,68.0,0.23987701019805557,28,4004.0
230.0,30,550.0,10.576923076923077,3.2664765372385904,7,1934.0,0.17322553364593102,3,18.0,0.439273168812061,17,2114.0,0.14080396834489903,3,83.0,0.22862498835786435,30,4149.0
235.0,32,624.0,12.0,2.566233935979547,11,1982.0,0.0463309550507798,3,33.0,0.47739525184586035,18,2202.0,0.09633260481034545,0,60.0,0.11509355744113005,32,4277.0
240.0,38,804.0,15.764705882352942,1.9391315727967247,15,2050.0,0.05473968353168859,4,50.0,0.022771855021452517,18,2292.0,0.09171103812181278,1,7.0,0.0,38,4399.0
245.0,43,997.0,19.173076923076923,1.7774613505632482,17,2126.0,0.05542179090709751,6,78.0,0.0001835642190426783,20,2386.0,0.00020951767742959058,0,0.0,1.0,43,4590.0
250.0,40,1182.0,23.64,1.7823290192883743,17,2211.0,0.002663679956488725,3,93.0,0.21911906447884208,20,2488.0,0.044920567451881166,0,0.0,1.0,40,4792.0
255.0,41,1386.0,28.875,1.7311547850111433,18,2300.0,0.0,3,93.0,0.23116278337109997,20,2588.0,0.07054282665659262,0,2.0,0.9314113761405314,41,4983.0
260.0,42,1593.0,32.51020408163265,1.6540556676390707,18,2390.0,0.09492969970667121,3,108.0,0.009666861040432058,21,2690.0,0.045181366990667333,0,2.0,0.9764481906716639,42,5190.0
265.0,41,1779.0,35.58,1.696484785341526,18,2480.0,0.08497633557585997,4,127.0,0.197226265815599,19,2773.0,0.013677632382375146,0,0.0,0.9262909452368796,41,5380.0
270.0,42,1986.0,39.72,1.7555260592641306,19,2572.0,0.003918293852599032,4,147.0,0.19562968089757105,19,2860.0,0.0,0,0.0,1.0,42,5579.0
275.0,40,2175.0,43.5,2.079612826980105,18,2663.0,0.06513538596051122,3,153.0,0.32242236989354645,19,2955.0,0.0,0,0.0,1.0,40,5771.0
280.0,40,2375.0,49.479166666666664,2.192098555593769,18,2750.0,0.09486296997373914,3,168.0,0.2339749276847849,19,3052.0,0.09110036856869436,0,2.0,0.9588168943075799,40,5972.0
285.0,37,2394.0,47.88,2.5512071616103906,18,2840.0,0.04623287586135208,0,115.0,0.6077502083545102,19,3147.0,0.13155601798902677,0,2.0,0.9645920293241921,37,6104.0
