step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
290.0,17,165.0,3.36734693877551,5.729235319917593,17,641.0,0.3016026270832245,17,641.0
295.0,13,146.0,3.1739130434782608,5.481520321235637,13,630.0,0.29320802963812487,13,630.0
300.0,14,172.0,4.0,4.5823501136537255,14,581.0,0.2201634636727094,14,581.0
305.0,20,210.0,4.883720930232558,3.90119304910967,20,542.0,0.14188176628746554,20,542.0
310.0,18,249.0,6.073170731707317,4.21514693452964,18,469.0,0.14538957445443396,18,469.0
315.0,16,283.0,7.075,4.438019032149223,16,519.0,0.1989434425804071,16,519.0
320.0,20,361.0,9.5,4.574969062467794,20,565.0,0.19290228553965724,20,565.0
325.0,19,409.0,10.225,4.8836159168801725,19,573.0,0.21107815549036396,19,573.0
330.0,13,433.0,11.394736842105264,6.125154214507727,13,518.0,0.29470187384258634,13,518.0
335.0,12,469.0,12.675675675675675,5.420369435076222,12,526.0,0.21034006957499668,12,526.0
340.0,22,557.0,15.914285714285715,4.690530778659632,22,604.0,0.11647346037994825,22,604.0
345.0,16,269.0,8.151515151515152,4.169871947713938,16,550.0,0.14774999750653142,16,550.0
350.0,13,211.0,6.806451612903226,5.482989433714789,13,379.0,0.23602365503103948,13,379.0
355.0,15,279.0,9.0,6.569122820555189,15,335.0,0.22444591191595237,15,335.0
360.0,15,354.0,13.615384615384615,4.462286491236489,15,401.0,0.10591685234453037,15,401.0
365.0,12,264.0,8.25,5.902564284641173,12,397.0,0.3681030957332816,12,397.0
370.0,7,203.0,7.0,6.802189612087903,7,305.0,0.404170701500379,7,305.0
375.0,8,161.0,4.878787878787879,4.861558872856038,8,302.0,0.21961074658256652,8,302.0
380.0,16,230.0,7.931034482758621,4.996184294681344,16,332.0,0.1941242884695979,16,332.0
385.0,18,312.0,10.064516129032258,5.023183522969371,18,414.0,0.17574533565517433,18,414.0
390.0,12,306.0,10.928571428571429,4.997231831508494,12,408.0,0.22320554546853946,12,408.0
395.0,8,310.0,11.481481481481481,6.239345129564919,8,348.0,0.2510042053994246,8,348.0
400.0,12,358.0,11.933333333333334,6.520180308772541,12,396.0,0.3293224102850955,12,396.0
405.0,14,428.0,15.285714285714286,6.285939086395716,14,466.0,0.32828917061984364,14,466.0
410.0,13,440.0,15.714285714285714,4.512948235442855,13,490.0,0.2103626004585892,13,490.0
415.0,12,494.0,17.642857142857142,6.076430104156208,12,499.0,0.2601752849147887,12,499.0
420.0,12,554.0,21.307692307692307,5.719268207357887,12,554.0,0.1511034029209443,12,554.0
425.0,14,620.0,23.846153846153847,5.825159945765028,14,620.0,0.24761384302265083,14,620.0
430.0,14,690.0,31.363636363636363,4.3697575483633875,14,690.0,0.18428673178864913,14,690.0
435.0,11,374.0,12.89655172413793,5.722489181566241,11,493.0,0.4024523588256213,11,493.0
440.0,14,439.0,15.678571428571429,6.419050275373862,14,439.0,0.379175379082434,14,439.0
445.0,10,157.0,4.90625,4.5548758977141635,10,364.0,0.2371661029477109,10,364.0
450.0,11,137.0,4.724137931034483,6.137179704665558,11,178.0,0.2745876427837952,11,178.0
455.0,8,145.0,4.833333333333333,5.583893724966577,8,163.0,0.17541466768899458,8,163.0
460.0,14,208.0,8.0,5.74510176543888,14,215.0,0.21090116603537543,14,215.0
465.0,14,278.0,10.692307692307692,5.397694418372903,14,285.0,0.22514096197793096,14,285.0
470.0,13,304.0,10.482758620689655,6.055457352745585,13,328.0,0.34314176811937225,13,328.0
475.0,13,369.0,13.178571428571429,6.795017945390881,13,369.0,0.3647624405881512,13,369.0
480.0,14,423.0,15.666666666666666,4.073745480342272,14,423.0,0.14651946080910414,14,423.0
485.0,18,504.0,18.666666666666668,4.631132880257969,18,504.0,0.2131782677527662,18,504.0
490.0,14,563.0,20.85185185185185,4.218715841954574,14,573.0,0.12036348121751853,14,573.0
495.0,16,643.0,22.17241379310345,5.540126595310755,16,643.0,0.2168039662202981,16,643.0
500.0,16,622.0,23.923076923076923,4.271826742919203,16,622.0,0.14541504555322105,16,622.0
505.0,18,710.0,25.357142857142858,4.304893298608408,18,710.0,0.261249345808698,18,710.0
510.0,16,772.0,24.125,5.147541620257873,16,775.0,0.3281684988746075,16,775.0
515.0,17,855.0,28.5,4.752627257290852,17,855.0,0.25863499841716453,17,855.0
520.0,22,956.0,28.11764705882353,3.9634552445138516,22,956.0,0.1333312559369722,22,956.0
525.0,19,529.0,17.633333333333333,2.2689828555806,19,863.0,0.09795251420566017,19,863.0
530.0,11,114.0,3.4545454545454546,5.115026840466941,11,600.0,0.24326358296056025,11,600.0
535.0,6,99.0,3.09375,6.065748912265978,6,492.0,0.28386465255696075,6,492.0
540.0,12,149.0,4.966666666666667,4.308217333975587,12,544.0,0.14300535078628596,12,544.0
545.0,18,225.0,6.617647058823529,4.87031939930722,18,620.0,0.253210026710471,18,620.0
550.0,22,329.0,10.28125,3.8245822812086754,22,724.0,0.18340433092290478,22,724.0
555.0,24,443.0,13.84375,2.5460208901409302,24,838.0,0.132323646862899,24,838.0
