step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
180.0,134,3588.0,13.142857142857142,4.488875643976872,13,1233.0,0.18968563393329876,8,160.0,0.23816581013617105,0,0.0,0.9280298686065387,3,6.0,0.46464273086744645,36,2194.0,0.08696672805186109,0,0.0,0.9200134406435474,3,108.0,0.6126564029932825,0,43.0,0.4386760921400796,1,6.0,0.51279074952754,0,0.0,0.9498004829033919,36,2455.0,0.11400036096251745,1,9.0,0.7562903971192606,0,4.0,0.8604607275444063,0,0.0,0.9439279850181804,33,2398.0,0.015126688099760916,0,2.0,0.3144526035849224,134,8618.0
185.0,131,3709.0,13.636029411764707,4.728251445902097,8,1125.0,0.20719637716566996,12,212.0,0.24177462791459434,0,0.0,0.9153102511366178,5,30.0,0.41342948162317283,36,2374.0,0.0,0,0.0,0.9589505091722644,0,38.0,0.7858547978963006,6,20.0,0.32682586594792185,2,5.0,0.41220388985353573,0,0.0,0.9504438507350317,36,2635.0,0.12328058162947515,0,2.0,0.8765668429265411,0,4.0,0.8983037193302208,0,0.0,0.9725657045666685,26,2087.0,0.06268234629289907,0,4.0,0.7632514067867404,131,8536.0
190.0,111,3137.0,11.243727598566307,4.70191995741999,6,873.0,0.21825609382911063,13,278.0,0.37289940517779163,0,0.0,0.9525761571527042,6,57.0,0.3208691904671991,31,2322.0,0.027080597110117777,0,2.0,0.39119371001319103,1,4.0,0.3940131896527558,3,35.0,0.4851105713322493,2,9.0,0.5109761201445533,0,4.0,0.8843932710220045,32,2561.0,0.04048744856937264,0,4.0,0.7881919751218492,1,5.0,0.34720984963549567,0,0.0,0.929838088512337,16,2171.0,0.08253727440104419,0,4.0,0.9394224167320718,111,8329.0
195.0,84,2064.0,7.478260869565218,4.975112599246284,3,826.0,0.21623409609625693,13,343.0,0.24149546096764835,1,1.0,0.6487670329618939,0,46.0,0.40115253741951457,22,2045.0,0.15697226566639932,0,4.0,0.8628794961166243,0,5.0,0.4272896274629653,0,10.0,0.6282375257893397,4,22.0,0.37315407331771533,0,4.0,0.938664171733877,28,2142.0,0.07483574611543002,0,4.0,0.8825591458273234,0,4.0,0.11392185152166256,0,2.0,0.8339194454138015,13,2231.0,0.07270187492410958,0,4.0,0.7038939567520697,84,7693.0
200.0,85,1311.0,4.75,5.009377423099669,8,850.0,0.2350131158495219,19,423.0,0.17146131728568334,3,10.0,0.004481923320899316,2,6.0,0.4807982589980018,16,2134.0,0.1552550120474198,0,4.0,0.916406012902892,0,0.0,0.5829749073071403,2,3.0,0.3374270017445725,0,13.0,0.4801201471644335,1,5.0,0.46379268774375493,12,2107.0,0.22933176340750863,1,6.0,0.799468977704878,1,7.0,0.18460952146267795,0,4.0,0.8832744043508376,15,2302.0,0.08345377419129574,5,15.0,0.43894089755533994,85,7889.0
205.0,90,1060.0,3.719298245614035,5.181354477159333,14,906.0,0.20646999438747635,20,520.0,0.16079775024874945,0,14.0,0.35217061604711547,0,2.0,0.6663975477234894,15,2201.0,0.08118882696658908,1,5.0,0.42388284924336406,0,4.0,0.479953219957921,3,21.0,0.16940626754464783,0,0.0,0.8094885379350467,0,4.0,0.4289771077117126,10,2139.0,0.27591420647133974,3,15.0,0.6575073186892909,0,4.0,0.9023824961130605,0,4.0,0.9383457308527174,23,2404.0,0.16898206742897046,1,17.0,0.11922497623147706,90,8260.0
210.0,117,1253.0,4.491039426523297,4.750187468156253,21,999.0,0.14460360560278782,20,620.0,0.12225755565548475,0,6.0,0.9081934041676285,0,0.0,0.7027822147964475,16,2271.0,0.08254312889529569,6,24.0,0.1395164964111216,0,4.0,0.8917543933688626,3,36.0,0.5167699032863025,2,3.0,0.41360619681669725,2,6.0,0.587351383513513,13,2192.0,0.2455730916002176,0,7.0,0.4443890533367525,0,4.0,0.9309601119724199,1,1.0,0.38955636109693353,28,2536.0,0.18854888857828114,5,25.0,0.13534561850778057,117,8734.0
215.0,139,1842.0,6.625899280575539,4.468270984421172,28,1127.0,0.12325077453839568,20,720.0,0.1629090502785647,0,6.0,0.9494033478423718,1,2.0,0.00022891947439978644,21,2369.0,0.11227751543860212,0,27.0,0.2529652689617487,0,6.0,0.7944489302054132,3,51.0,0.665950961148339,4,21.0,0.3656747052246948,1,4.0,0.5803244370808276,20,2277.0,0.13721650152628997,2,8.0,0.591829263169131,1,1.0,0.5938344872342732,3,15.0,0.08762991758705599,35,2698.0,0.17570645025456644,0,23.0,0.6749026400596552,139,9355.0
220.0,147,2264.0,7.971830985915493,4.522131663510335,34,1288.0,0.10927903667092449,14,674.0,0.23315699389828204,1,5.0,0.6024789522900493,1,11.0,0.2866215277532604,28,2494.0,0.15872082109724323,0,4.0,0.8721989614279453,0,6.0,0.6363478449976234,3,62.0,0.4855928327599195,1,25.0,0.46584516988271096,1,5.0,0.7699590042455019,26,2397.0,0.1447470847526048,2,18.0,0.4838772514355259,0,7.0,0.24203491465663826,0,15.0,0.6947350641905453,36,2878.0,0.16070177047596815,0,4.0,0.9153183574494094,147,9893.0
225.0,157,2666.0,9.487544483985765,4.8856180484943375,36,1464.0,0.07402679866197297,5,485.0,0.26875691381620015,5,24.0,0.3557411266749396,0,4.0,0.940789830281571,34,2652.0,0.17820091784139386,0,4.0,0.91255851680448,3,18.0,0.7218046563995016,3,77.0,0.0,0,5.0,0.7787628476533577,1,10.0,0.7568490867159474,32,2548.0,0.12031963586564694,2,28.0,0.3226458161652277,0,4.0,0.8601130830787076,0,8.0,0.8761125753420198,36,3058.0,0.12563447633556774,0,0.0,0.8983357694764769,157,10389.0
230.0,150,2976.0,10.405594405594405,4.821683210448291,36,1644.0,0.09767484646652931,1,453.0,0.3442323063372128,5,49.0,0.0,0,4.0,0.8641294551060711,36,2830.0,0.1137688556471836,0,0.0,0.9036798831616581,1,10.0,0.5236375229263229,0,27.0,0.259993336533254,0,4.0,0.9001107452856315,2,4.0,0.6064623417313912,36,2721.0,0.07439975256620183,2,42.0,0.2618430634535633,0,4.0,0.8914091784082163,0,4.0,0.916233326221653,31,2935.0,0.11211226181879837,0,4.0,0.7363376309954583,150,10735.0
